Trigger Date,Trigger Time,Instrument,Buy/Sell,Quantity,Price,Cumulative P&L,Trigger type
NSE_WIPRO results
20 Feb 2024,10:25 AM,NSE_ONGC,BUY,10,277.1,328.5,EN

 
NSE_NESTLEIND results
01 Feb 2024,11:06 AM,NSE_NESTLEIND,BUY,10,2495,0,EN
23 Feb 2024,12:10 PM,NSE_NESTLEIND,SELL,-10,2569.8500000000004,748.5,TP
23 Feb 2024,01:07 PM,NSE_NESTLEIND,BUY,10,2570.1,748.5,EN

 
NSE_NTPC results
01 Feb 2024,11:05 AM,NSE_NTPC,BUY,10,322.8,0,EN
02 Feb 2024,12:04 PM,NSE_NTPC,SELL,-10,332.5,97,TP
02 Feb 2024,12:24 PM,NSE_NTPC,BUY,10,331.8,97,EN
16 Feb 2024,09:15 AM,NSE_NTPC,SELL,-10,341.90000000000003,198,TP
16 Feb 2024,09:32 AM,NSE_NTPC,BUY,10,340.45,198,EN

 
NSE_M&M results
01 Feb 2024,10:23 AM,NSE_M&M,BUY,10,1690.65,0,EN
07 Feb 2024,09:16 AM,NSE_M&M,SELL,-10,1741.35,507,TP
07 Feb 2024,09:43 AM,NSE_M&M,BUY,10,1732.9,507,EN
15 Feb 2024,02:19 PM,NSE_M&M,SELL,-10,1784.9,1027,TP
15 Feb 2024,02:56 PM,NSE_M&M,BUY,10,1767.6,1027,EN
16 Feb 2024,11:20 AM,NSE_M&M,SELL,-10,1820.65,1557.5,TP
16 Feb 2024,12:59 PM,NSE_M&M,BUY,10,1838.1,1557.5,EN
22 Feb 2024,02:51 PM,NSE_M&M,SELL,-10,1893.25,2109,TP
22 Feb 2024,03:23 PM,NSE_M&M,BUY,10,1910.2,2109,EN
01 Mar 2024,09:18 AM,NSE_M&M,SELL,-10,1967.5,2682,TP
01 Mar 2024,10:16 AM,NSE_M&M,BUY,10,1947.65,2682,EN

 
NSE_LT results
01 Feb 2024,09:18 AM,NSE_LT,BUY,10,3454.85,0,EN
01 Mar 2024,09:38 AM,NSE_LT,SELL,-10,3558.5,1036.5,TP
01 Mar 2024,10:45 AM,NSE_LT,BUY,10,3568.8,1036.5,EN

 
NSE_LTIM results
01 Feb 2024,09:19 AM,NSE_LTIM,BUY,10,5385.05,0,EN
12 Feb 2024,11:31 AM,NSE_LTIM,SELL,-10,5546.6,1615.5,TP
12 Feb 2024,12:07 PM,NSE_LTIM,BUY,10,5512.55,1615.5,EN

 
NSE_KOTAKBANK results
01 Feb 2024,09:26 AM,NSE_KOTAKBANK,BUY,10,1819.1,0,EN

 
NSE_JSWSTEEL results
01 Feb 2024,09:38 AM,NSE_JSWSTEEL,BUY,10,810.65,0,EN
07 Feb 2024,12:22 PM,NSE_JSWSTEEL,SELL,-10,834.95,243,TP
07 Feb 2024,01:22 PM,NSE_JSWSTEEL,BUY,10,838.15,243,EN

 
NSE_INFY results
01 Feb 2024,11:16 AM,NSE_INFY,BUY,10,1666,0,EN
02 Feb 2024,11:41 AM,NSE_INFY,SELL,-10,1716,500,TP
02 Feb 2024,12:06 PM,NSE_INFY,BUY,10,1710.9,500,EN

 
NSE_INDUSINDBK results
01 Feb 2024,09:39 AM,NSE_INDUSINDBK,BUY,10,1532,0,EN

 
NSE_ITC results
01 Feb 2024,10:52 AM,NSE_ITC,BUY,10,443.3,0,EN

 
NSE_ICICIBANK results
01 Feb 2024,10:56 AM,NSE_ICICIBANK,BUY,10,1025.4,0,EN
21 Feb 2024,09:15 AM,NSE_ICICIBANK,SELL,-10,1056.8,314,TP
21 Feb 2024,10:07 AM,NSE_ICICIBANK,BUY,10,1059.6,314,EN

 
NSE_HINDUNILVR results
01 Feb 2024,09:57 AM,NSE_HINDUNILVR,BUY,10,2495.45,0,EN

 
NSE_HINDALCO results
01 Feb 2024,10:01 AM,NSE_HINDALCO,BUY,10,579.2,0,EN
07 Feb 2024,10:50 AM,NSE_HINDALCO,SELL,-10,596.6,174,TP
07 Feb 2024,11:23 AM,NSE_HINDALCO,BUY,10,593.3,174,EN

 
NSE_HEROMOTOCO results
01 Feb 2024,09:52 AM,NSE_HEROMOTOCO,BUY,10,4551.15,0,EN
06 Feb 2024,01:22 PM,NSE_HEROMOTOCO,SELL,-10,4687.7,1365.5,TP
06 Feb 2024,01:36 PM,NSE_HEROMOTOCO,BUY,10,4673.65,1365.5,EN
09 Feb 2024,03:01 PM,NSE_HEROMOTOCO,SELL,-10,4813.85,2767.5,TP
09 Feb 2024,03:24 PM,NSE_HEROMOTOCO,BUY,10,4802,2767.5,EN

 
NSE_HDFCLIFE results
01 Feb 2024,10:16 AM,NSE_HDFCLIFE,BUY,10,572.8,0,EN
01 Feb 2024,12:15 PM,NSE_HDFCLIFE,SELL,-10,590,172,TP
01 Feb 2024,12:46 PM,NSE_HDFCLIFE,BUY,10,587,172,EN
07 Feb 2024,09:18 AM,NSE_HDFCLIFE,SELL,-10,604.6,348,TP
07 Feb 2024,11:01 AM,NSE_HDFCLIFE,BUY,10,611.2,348,EN

 
NSE_HDFCBANK results
01 Feb 2024,11:16 AM,NSE_HDFCBANK,BUY,10,1465.85,0,EN

 
NSE_HCLTECH results
01 Feb 2024,10:35 AM,NSE_HCLTECH,BUY,10,1589.2,0,EN
08 Feb 2024,09:16 AM,NSE_HCLTECH,SELL,-10,1636.9,477,TP
08 Feb 2024,10:09 AM,NSE_HCLTECH,BUY,10,1637.35,477,EN
15 Feb 2024,09:16 AM,NSE_HCLTECH,SELL,-10,1686.45,968,TP
15 Feb 2024,09:54 AM,NSE_HCLTECH,BUY,10,1678.1,968,EN

 
NSE_GRASIM results
01 Feb 2024,10:31 AM,NSE_GRASIM,BUY,10,2139.7,0,EN
20 Feb 2024,09:33 AM,NSE_GRASIM,SELL,-10,2203.9,642,TP
20 Feb 2024,10:44 AM,NSE_GRASIM,BUY,10,2207.05,642,EN

 
NSE_EICHERMOT results
01 Feb 2024,10:12 AM,NSE_EICHERMOT,BUY,10,3928.45,0,EN

 
NSE_DRREDDY results
01 Feb 2024,09:53 AM,NSE_DRREDDY,BUY,10,6097.9,0,EN
12 Feb 2024,09:15 AM,NSE_DRREDDY,SELL,-10,6280.85,1829.5,TP
12 Feb 2024,10:23 AM,NSE_DRREDDY,BUY,10,6251.85,1829.5,EN
19 Feb 2024,09:19 AM,NSE_DRREDDY,SELL,-10,6439.400000000001,3705,TP
19 Feb 2024,09:40 AM,NSE_DRREDDY,BUY,10,6396,3705,EN

 
NSE_DIVISLAB results
01 Feb 2024,10:34 AM,NSE_DIVISLAB,BUY,10,3639.7,0,EN
07 Feb 2024,09:15 AM,NSE_DIVISLAB,SELL,-10,3748.9,1092,TP
07 Feb 2024,09:27 AM,NSE_DIVISLAB,BUY,10,3737.65,1092,EN

 
NSE_COALINDIA results
01 Feb 2024,10:02 AM,NSE_COALINDIA,BUY,10,407.5,0,EN
02 Feb 2024,02:02 PM,NSE_COALINDIA,SELL,-10,419.75,122.5,TP
02 Feb 2024,03:12 PM,NSE_COALINDIA,BUY,10,419.85,122.5,EN
05 Feb 2024,10:25 AM,NSE_COALINDIA,SELL,-10,432.45,248.5,TP
05 Feb 2024,11:08 AM,NSE_COALINDIA,BUY,10,435.65,248.5,EN
05 Feb 2024,02:04 PM,NSE_COALINDIA,SELL,-10,448.7,379,TP
05 Feb 2024,02:11 PM,NSE_COALINDIA,BUY,10,445.5,379,EN
07 Feb 2024,09:32 AM,NSE_COALINDIA,SELL,-10,458.85,512.5,TP
07 Feb 2024,09:48 AM,NSE_COALINDIA,BUY,10,455.45,512.5,EN
15 Feb 2024,09:15 AM,NSE_COALINDIA,SELL,-10,469.1,649,TP
15 Feb 2024,10:17 AM,NSE_COALINDIA,BUY,10,477.35,649,EN

 
NSE_CIPLA results
01 Feb 2024,10:00 AM,NSE_CIPLA,BUY,10,1375.8,0,EN
05 Feb 2024,09:25 AM,NSE_CIPLA,SELL,-10,1417.0500000000002,412.5,TP
05 Feb 2024,10:18 AM,NSE_CIPLA,BUY,10,1425,412.5,EN
19 Feb 2024,12:12 PM,NSE_CIPLA,SELL,-10,1467.75,840,TP
19 Feb 2024,12:21 PM,NSE_CIPLA,BUY,10,1461.5,840,EN

 
NSE_BRITANNIA results
01 Feb 2024,09:56 AM,NSE_BRITANNIA,BUY,10,5163.2,0,EN

 
NSE_BHARTIARTL results
01 Feb 2024,09:55 AM,NSE_BHARTIARTL,BUY,10,1164.15,0,EN

 
NSE_BPCL results
01 Feb 2024,10:00 AM,NSE_BPCL,BUY,10,254.4,0,EN
02 Feb 2024,09:22 AM,NSE_BPCL,SELL,-10,262.05,76.5,TP
02 Feb 2024,10:37 AM,NSE_BPCL,BUY,10,266.6,76.5,EN
02 Feb 2024,12:02 PM,NSE_BPCL,SELL,-10,274.6,156.5,TP
