SYMBOL,DATE1,LAST_PRICE
AWHCL,26-Oct-2023,392.00
AWL,26-Oct-2023,317.70
AXISBANK,26-Oct-2023,973.55
AXISBNKETF,26-Oct-2023,430.23
AXISBPSETF,26-Oct-2023,11.25
AXISCADES,26-Oct-2023,516.00
AXISCETF,26-Oct-2023,84.45
AXISGOLD,26-Oct-2023,51.87
AXISHCETF,26-Oct-2023,92.90
AXISILVER,26-Oct-2023,72.90
AXISNIFTY,26-Oct-2023,203.21
AXISTECETF,26-Oct-2023,327.90
AXSENSEX,26-Oct-2023,64.99
AYMSYNTEX,26-Oct-2023,66.90
BAJAJ-AUTO,26-Oct-2023,5255.15
BAJAJCON,26-Oct-2023,238.85
BAJAJELEC,26-Oct-2023,1010.00
BAJAJFINSV,26-Oct-2023,1558.80
BAJAJHCARE,26-Oct-2023,401.00
BAJAJHIND,26-Oct-2023,25.70
BAJAJHLDNG,26-Oct-2023,6650.30
BAJFINANCE,26-Oct-2023,7409.00
BALAJITELE,26-Oct-2023,63.55
BALAMINES,26-Oct-2023,2032.00
BALAXI,26-Oct-2023,419.80
BALKRISHNA,26-Oct-2023,28.95
BALKRISIND,26-Oct-2023,2556.00
BALMLAWRIE,26-Oct-2023,137.25
BALPHARMA,26-Oct-2023,84.00
BALRAMCHIN,26-Oct-2023,402.80
BANARBEADS,26-Oct-2023,90.50
BANARISUG,26-Oct-2023,2565.00
BANCOINDIA,26-Oct-2023,448.00
BANDHANBNK,26-Oct-2023,212.05
BANG,26-Oct-2023,43.55
BANKA,26-Oct-2023,67.70
BANKBARODA,26-Oct-2023,190.00
BANKBEES,26-Oct-2023,433.09
BANKETF,26-Oct-2023,454.20
BANKINDIA,26-Oct-2023,90.35
BANSWRAS,26-Oct-2023,149.00
BARBEQUE,26-Oct-2023,662.00
BASF,26-Oct-2023,2500.00
BASML,26-Oct-2023,42.95
BATAINDIA,26-Oct-2023,1551.95
BAYERCROP,26-Oct-2023,4918.00
BBETF0432,26-Oct-2023,1084.00
BBL,26-Oct-2023,3701.05
BBOX,26-Oct-2023,221.45
BBTC,26-Oct-2023,1407.00
BBTCL,26-Oct-2023,246.75
BCG,26-Oct-2023,16.00
BCLIND,26-Oct-2023,511.50
BDL,26-Oct-2023,958.55
BECTORFOOD,26-Oct-2023,1075.00
BEL,26-Oct-2023,129.30
BEML,26-Oct-2023,1979.95
BEPL,26-Oct-2023,88.20
BERGEPAINT,26-Oct-2023,536.50
BFINVEST,26-Oct-2023,466.90
BFSI,26-Oct-2023,19.25
BFUTILITIE,26-Oct-2023,571.65
BGRENERGY,26-Oct-2023,75.10
BHAGCHEM,26-Oct-2023,1457.00
BHAGERIA,26-Oct-2023,148.05
BHARATFORG,26-Oct-2023,1019.45
BHARATGEAR,26-Oct-2023,113.40
BHARATRAS,26-Oct-2023,8725.10
BHARATWIRE,26-Oct-2023,241.20
BHARTIARTL,26-Oct-2023,908.00
BHEL,26-Oct-2023,117.95
BIGBLOC,26-Oct-2023,152.50
BIKAJI,26-Oct-2023,458.00
BIL,26-Oct-2023,234.40
BIOCON,26-Oct-2023,223.75
BIOFILCHEM,26-Oct-2023,46.80
BIRLACABLE,26-Oct-2023,299.50
BIRLACORPN,26-Oct-2023,1208.70
BIRLAMONEY,26-Oct-2023,94.50
BLAL,26-Oct-2023,156.35
BLBLIMITED,26-Oct-2023,21.25
BLISSGVS,26-Oct-2023,80.55
BLKASHYAP,26-Oct-2023,63.60
BLS,26-Oct-2023,234.85
BLUEDART,26-Oct-2023,6449.85
BLUESTARCO,26-Oct-2023,859.95
BODALCHEM,26-Oct-2023,75.00
BOMDYEING,26-Oct-2023,147.95
BOROLTD,26-Oct-2023,391.00
BORORENEW,26-Oct-2023,399.00
BOSCHLTD,26-Oct-2023,19739.60
BPCL,26-Oct-2023,335.10
BRIGADE,26-Oct-2023,596.30
BRITANNIA,26-Oct-2023,4509.85
BRNL,26-Oct-2023,39.00
BSE,26-Oct-2023,1824.00
BSHSL,26-Oct-2023,215.10
BSL,26-Oct-2023,175.90
BSLGOLDETF,26-Oct-2023,54.75
BSLNIFTY,26-Oct-2023,21.50
BSLSENETFG,26-Oct-2023,61.85
BSOFT,26-Oct-2023,530.10
BTML,26-Oct-2023,159.90
BURNPUR,26-Oct-2023,4.80
BUTTERFLY,26-Oct-2023,1170.10
CALSOFT,26-Oct-2023,12.50
CAMLINFINE,26-Oct-2023,147.00
CAMPUS,26-Oct-2023,269.40
CAMS,26-Oct-2023,2305.00
CANBK,26-Oct-2023,360.00
CANFINHOME,26-Oct-2023,718.15
CANTABIL,26-Oct-2023,1051.20
CAPACITE,26-Oct-2023,197.60
CAPLIPOINT,26-Oct-2023,984.00
CAPTRUST,26-Oct-2023,88.40
CARBORUNIV,26-Oct-2023,1096.70
CARERATING,26-Oct-2023,899.85
CARTRADE,26-Oct-2023,640.40
CARYSIL,26-Oct-2023,630.00
CASTROLIND,26-Oct-2023,135.00
CCL,26-Oct-2023,612.15
CDSL,26-Oct-2023,1300.00
CEATLTD,26-Oct-2023,2115.00
CELEBRITY,26-Oct-2023,18.15
CENTENKA,26-Oct-2023,429.90
CENTRALBK,26-Oct-2023,43.80
CENTRUM,26-Oct-2023,21.65
CENTURYPLY,26-Oct-2023,600.10
CENTURYTEX,26-Oct-2023,1082.55
CERA,26-Oct-2023,8580.00
CESC,26-Oct-2023,83.55
CGCL,26-Oct-2023,765.00
CGPOWER,26-Oct-2023,373.00
CHALET,26-Oct-2023,558.75
CHAMBLFERT,26-Oct-2023,269.60
CHEMBOND,26-Oct-2023,361.00
CHEMCON,26-Oct-2023,258.50
CHEMFAB,26-Oct-2023,370.60
CHEMPLASTS,26-Oct-2023,447.00
CHENNPETRO,26-Oct-2023,522.00
CHEVIOT,26-Oct-2023,1216.00
CHOICEIN,26-Oct-2023,398.85
CHOLAFIN,26-Oct-2023,1136.95
CHOLAHLDNG,26-Oct-2023,1083.00
CIEINDIA,26-Oct-2023,452.20
CIGNITITEC,26-Oct-2023,988.10
CIPLA,26-Oct-2023,1152.00
CLEAN,26-Oct-2023,1320.00
CLEDUCATE,26-Oct-2023,75.00
CLSEL,26-Oct-2023,201.00
CMSINFO,26-Oct-2023,358.00
COALINDIA,26-Oct-2023,305.40
COASTCORP,26-Oct-2023,248.60
COCHINSHIP,26-Oct-2023,941.00
COFFEEDAY,26-Oct-2023,46.25
COFORGE,26-Oct-2023,4898.00
COLPAL,26-Oct-2023,2039.00
COMPINFO,26-Oct-2023,11.55
COMPUSOFT,26-Oct-2023,20.20
CONCOR,26-Oct-2023,698.90
CONCORDBIO,26-Oct-2023,1165.00
CONFIPET,26-Oct-2023,76.65
CONSOFINVT,26-Oct-2023,164.00
CONSUMBEES,26-Oct-2023,90.67
CONTROLPR,26-Oct-2023,864.00
CORALFINAC,26-Oct-2023,39.05
CORDSCABLE,26-Oct-2023,107.75
COROMANDEL,26-Oct-2023,1073.00
COSMOFIRST,26-Oct-2023,634.20
COUNCODOS,26-Oct-2023,4.20
CPSEETF,26-Oct-2023,52.23
CRAFTSMAN,26-Oct-2023,4400.00
CREATIVE,26-Oct-2023,528.00
CREATIVEYE,26-Oct-2023,3.90
CREDITACC,26-Oct-2023,1553.00
CREST,26-Oct-2023,238.00
CRISIL,26-Oct-2023,3855.00
CROMPTON,26-Oct-2023,287.40
CROWN,26-Oct-2023,58.10
CSBBANK,26-Oct-2023,318.50
CSLFINANCE,26-Oct-2023,319.00
CTE,26-Oct-2023,60.25
CUB,26-Oct-2023,129.80
CUBEXTUB,26-Oct-2023,48.50
CUMMINSIND,26-Oct-2023,1681.00
CUPID,26-Oct-2023,522.00
CYBERTECH,26-Oct-2023,144.30
CYIENT,26-Oct-2023,1599.25
CYIENTDLM,26-Oct-2023,646.50
DAAWAT,26-Oct-2023,160.00
DABUR,26-Oct-2023,511.00
DALBHARAT,26-Oct-2023,2026.65
DALMIASUG,26-Oct-2023,416.00
DAMODARIND,26-Oct-2023,46.30
DATAMATICS,26-Oct-2023,605.00
DATAPATTNS,26-Oct-2023,1888.05
DBCORP,26-Oct-2023,303.65
DBL,26-Oct-2023,301.45
DBOL,26-Oct-2023,152.70
DBREALTY,26-Oct-2023,149.60
DCAL,26-Oct-2023,141.90
DCBBANK,26-Oct-2023,112.90
DCMNVL,26-Oct-2023,156.85
DCMSHRIRAM,26-Oct-2023,964.00
DCMSRIND,26-Oct-2023,122.15
DCW,26-Oct-2023,52.90
DCXINDIA,26-Oct-2023,277.00
DECCANCE,26-Oct-2023,503.95
DEEPAKFERT,26-Oct-2023,617.00
DEEPAKNTR,26-Oct-2023,1954.00
DEEPINDS,26-Oct-2023,250.15
DELHIVERY,26-Oct-2023,407.70
DELPHIFX,26-Oct-2023,325.90
DELTACORP,26-Oct-2023,127.40
DEN,26-Oct-2023,44.80
DENORA,26-Oct-2023,1463.00
DEVIT,26-Oct-2023,138.15
DEVYANI,26-Oct-2023,184.85
DGCONTENT,26-Oct-2023,19.25
DHAMPURSUG,26-Oct-2023,261.00
DHANBANK,26-Oct-2023,29.10
DHANUKA,26-Oct-2023,812.00
DHARMAJ,26-Oct-2023,243.90
DHRUV,26-Oct-2023,57.75
DHUNINV,26-Oct-2023,851.95
DIAMINESQ,26-Oct-2023,489.00
DIAMONDYD,26-Oct-2023,810.00
DICIND,26-Oct-2023,418.10
DISHTV,26-Oct-2023,16.30
DIVGIITTS,26-Oct-2023,1067.00
DIVISLAB,26-Oct-2023,3407.00
DIVOPPBEES,26-Oct-2023,56.71
DIXON,26-Oct-2023,5356.05
DJML,26-Oct-2023,146.40
DLF,26-Oct-2023,522.80
DLINKINDIA,26-Oct-2023,297.00
DMART,26-Oct-2023,3700.00
DMCC,26-Oct-2023,279.00
DODLA,26-Oct-2023,700.00
DOLATALGO,26-Oct-2023,56.75
DOLLAR,26-Oct-2023,403.90
DONEAR,26-Oct-2023,96.15
DPABHUSHAN,26-Oct-2023,515.55
DPSCLTD,26-Oct-2023,15.00
DPWIRES,26-Oct-2023,591.00
DRCSYSTEMS,26-Oct-2023,39.60
